Condition,Time,SleepFactor,ATP,ROS,SeverityScore,BrainState,ConnectivityStatus
Healthy,0.0,1.0,100.0,10.0,0.1,Healthy,Stable
Healthy,5.196012789430741e-05,0.9999584336255198,100.00002597898406,10.000015587390429,0.09999597325203921,Healthy,Stable
Healthy,0.00010392025578861483,0.9999168689788032,100.00005195688826,10.000031174132948,0.09999194666059043,Healthy,Stable
Healthy,0.00024573102239335394,0.9998034383756481,100.00012285101522,10.000073710609131,0.09998095797114745,Healthy,Stable
Healthy,0.000387541788998093,0.9996900192103344,100.00019373799354,10.000116242796123,0.09996997030884971,Healthy,Stable
Healthy,0.0005293525556028322,0.9995766124348622,100.00026461722821,10.000158770336926,0.09995898376594942,Healthy,Stable
Healthy,0.0006711633222075713,0.9994632183656036,100.0003354885215,10.000201293112898,0.09994799837312286,Healthy,Stable
Healthy,0.0009570203507773347,0.9992346817341494,100.00047832391616,10.000286994349693,0.0999258579512147,Healthy,Stable
Healthy,0.0014717252316154966,0.9988233177574609,100.00073542640159,10.00044125584095,0.0998860045539275,Healthy,Stable
Healthy,0.0024020167214819452,0.9980802368654863,100.00119985195909,10.000719911175441,0.09981401135734298,Healthy,Stable
Healthy,0.004415386467191666,0.9964739264498264,100.00220379596888,10.001322277581313,0.09965837252911926,Healthy,Stable
Healthy,0.0064287562129013865,0.9948702008108886,100.00320612449322,10.001923674695915,0.09950296795837187,Healthy,Stable
Healthy,0.008442125958611107,0.9932690560689287,100.00420683995695,10.00252410397415,0.09934779734777592,Healthy,Stable
Healthy,0.010455495704320828,0.9916704881636983,100.00520594489772,10.003123566938612,0.09919286038222411,Healthy,Stable
Healthy,0.01434953136566423,0.9885860110149729,100.00713374311567,10.004280245869385,0.0988938601794567,Healthy,Stable
Healthy,0.018243567027007634,0.985511129046809,100.00905554434578,10.005433326607445,0.09859573056297057,Healthy,Stable
Healthy,0.022137602688351035,0.9824458127899603,100.01097136700632,10.006582820203764,0.09829846923463008,Healthy,Stable
Healthy,0.026031638349694436,0.9793900316565185,100.01288123021472,10.007728738128806,0.09800207378371893,Healthy,Stable
Healthy,0.029925674011037837,0.9763437553886803,100.01478515288211,10.008871091729246,0.09770654182741631,Healthy,Stable
Healthy,0.03727152727884546,0.9706229199071329,100.01836067505809,10.011016405034827,0.09715138209335052,Healthy,Stable
Healthy,0.049710563051664595,0.961011933931703,100.02436754129273,10.014620524775614,0.09621825235869273,Healthy,Stable
Healthy,0.058396711680220516,0.9543570907392116,100.02852681828804,10.017116090972797,0.09557179410973711,Healthy,Stable
Healthy,0.06708286030877644,0.9477483294339458,100.03265729410383,10.01959437646227,0.09492953690092161,Healthy,Stable
Healthy,0.07576900893733236,0.9411853320222031,100.03675916748617,10.022055500491675,0.09429145558366889,Healthy,Stable
Healthy,0.08445515756588828,0.9346677824009563,100.04083263599944,10.024499581599642,0.09365752509982042,Healthy,Stable
Healthy,0.09754058516536397,0.9249343954993762,100.04691600281292,10.028149601687733,0.09271030892699948,Healthy,Stable
Healthy,0.11062601276483966,0.9153023696234137,100.0529360189854,10.031761611391218,0.09177237110424467,Healthy,Stable
Healthy,0.12371144036431535,0.9057706489003525,100.05889334443731,10.035336006662368,0.09084362721660044,Healthy,Stable
Healthy,0.15046292086855784,0.8865920354248316,100.0708799778595,10.042527986715687,0.08897318910878975,Healthy,Stable
Healthy,0.17020442620284185,0.8726998930664032,100.07956256683353,10.047737540100098,0.08761688452573815,Healthy,Stable
Healthy,0.18994593153712586,0.859025430808694,100.08810910574459,10.05286546344674,0.08628064974706899,Healthy,Stable
