ATP_Healthy

t	(Var=ATP) ATP
0.0	100.0
5.196012789430741E-5	100.00002597898406
1.0392025578861483E-4	100.00005195688826
2.4573102239335394E-4	100.00012285101522
3.87541788998093E-4	100.00019373799354
5.293525556028322E-4	100.00026461722821
6.711633222075713E-4	100.0003354885215
9.570203507773347E-4	100.00047832391616
0.0014717252316154966	100.00073542640159
0.0024020167214819452	100.00119985195909
0.004415386467191666	100.00220379596888
0.0064287562129013865	100.00320612449322
0.008442125958611107	100.00420683995695
0.010455495704320828	100.00520594489772
0.01434953136566423	100.00713374311567
0.018243567027007634	100.00905554434578
0.022137602688351035	100.01097136700632
0.026031638349694436	100.01288123021472
0.029925674011037837	100.01478515288211
0.03727152727884546	100.01836067505809
0.049710563051664595	100.02436754129273
0.058396711680220516	100.02852681828804
0.06708286030877644	100.03265729410383
0.07576900893733236	100.03675916748617
0.08445515756588828	100.04083263599944
0.09754058516536397	100.04691600281292
0.11062601276483966	100.0529360189854
0.12371144036431535	100.05889334443731
0.15046292086855784	100.0708799778595
0.17020442620284185	100.07956256683353
0.18994593153712586	100.08810910574459
0.20968743687140987	100.09652172684886
0.22942894220569388	100.10480252953131
0.24917044753997789	100.11295357954897
0.2891411762566337	100.12906806152935
0.31656936366101207	100.13983155357451
0.34399755106539043	100.15036143766714
0.3714257384697688	100.1606627850366
0.39885392587414714	100.17074055695223
0.4262821132785255	100.18059960582836
0.45371030068290386	100.19024467816969
0.4811384880872822	100.19968041778883
0.5243825008604572	100.2141428297891
0.5676265136336323	100.22811346661028
0.6108705264068073	100.24160905131308
0.6541145391799823	100.25464573780434
0.6973585519531573	100.26723912992132
0.7935795626178569	100.29374515721085
0.8747053040509882	100.31456100284734
0.9319570051752357	100.32845883100016
0.9892087062994832	100.34173447809496
1.0464604074237307	100.3544157968815
1.1037121085479782	100.36652939391337
1.1609638096722257	100.37810068550549
1.2182155107964732	100.38915395015727
1.2754672119207207	100.39971237903129
1.3327189130449681	100.40979812487093
1.3899706141692156	100.41943234881937
1.4472223152934631	100.42863526482684
1.5044740164177106	100.43742618189248
1.561725717541958	100.44582354450218
1.6189774186662056	100.45384497138251
1.676229119790453	100.46150729252828
1.7334808209147006	100.46882658451163
1.790732522038948	100.47581820418067
1.8479842231631955	100.48249682086794
1.905235924287443	100.48887644717996
1.9624876254116905	100.49497046840838
2.019739326535938	100.50079167061286
2.0769910276601853	100.50635226744186
2.1342427287844328	100.51166392575661
2.1914944299086803	100.51673779011196
2.2487461310329278	100.52158450614104
2.3059978321571752	100.52621424289083
2.3632495332814227	100.53063671415708
2.42050123440567	100.53486119886477
2.4777529355299177	100.53889656053703
2.535004636654165	100.54275126589222
2.5922563377784127	100.54643340260824
2.64950803890266	100.54995069629126
2.7067597400269077	100.55331052668504
2.764011441151155	100.55651994315465
2.8212631422754026	100.5595856794771
2.87851484339965	100.56251416796955
2.9357665445238976	100.56531155298526
2.993018245648145	100.56798370380514
3.0502699467723926	100.5705362269523
3.10752164789664	100.57297447795531
3.1647733490208876	100.57530357258482
3.222025050145135	100.57752839758703
3.2792767512693826	100.57965362093682
3.33652845239363	100.58168370163169
3.3937801535178775	100.5836228990474
3.451031854642125	100.58547528187462
3.5082835557663725	100.58724473665568
3.56553525689062	100.58893497593891
3.6227869580148675	100.59054954606819
3.680038659139115	100.59209183462356
3.7372903602633625	100.59356507752884
3.79454206138761	100.59497236584097
3.8517937625118575	100.59631665223557
